Period,HS_Code,Import_Value
2014-01-01,04,77115100.0
2014-02-01,04,107389161.0
2014-03-01,04,136648208.0
2014-04-01,04,159130719.0
2014-05-01,04,127602341.0
2014-06-01,04,148197241.0
2014-07-01,04,77491722.0
2014-08-01,04,104288352.0
2014-09-01,04,131981821.0
2014-10-01,04,113795305.0
2014-11-01,04,84121259.0
2014-12-01,04,106461996.0
2015-01-01,04,66196252.0
2015-02-01,04,95365181.0
2015-03-01,04,95238110.0
2015-04-01,04,88797372.0
2015-05-01,04,84483370.0
2015-06-01,04,94572152.0
2015-07-01,04,38972506.0
2015-08-01,04,76282971.0
2015-09-01,04,65779346.0
2015-10-01,04,75840941.0
2015-11-01,04,65230271.0
2015-12-01,04,64948391.0
2016-01-01,04,44477585.0
2016-02-01,04,71420110.0
2016-03-01,04,94168939.0
2016-04-01,04,65810071.0
2016-05-01,04,63940771.0
2016-06-01,04,72693081.0
2016-07-01,04,37949717.0
2016-08-01,04,68447684.0
2016-09-01,04,66198273.0
2016-10-01,04,69266003.0
2016-11-01,04,85448964.0
2016-12-01,04,92581551.0
2014-01-01,07,36315548.0
2014-02-01,07,44806700.0
2014-03-01,07,79745397.0
2014-04-01,07,68273036.0
2014-05-01,07,49758133.0
2014-06-01,07,75582600.0
2014-07-01,07,55219883.0
2014-08-01,07,56310301.0
2014-09-01,07,57551727.0
2014-10-01,07,34958248.0
2014-11-01,07,35609621.0
2014-12-01,07,49891820.0
2015-01-01,07,34548990.0
2015-02-01,07,42956962.0
2015-03-01,07,42915934.0
2015-04-01,07,50223445.0
2015-05-01,07,50829660.0
2015-06-01,07,65873547.0
2015-07-01,07,39079950.0
2015-08-01,07,58741217.0
2015-09-01,07,43770103.0
2015-10-01,07,37304115.0
2015-11-01,07,43396713.0
2015-12-01,07,48440556.0
2016-01-01,07,48508597.0
2016-02-01,07,51048095.0
2016-03-01,07,33923569.0
2016-04-01,07,38427078.0
2016-05-01,07,50168966.0
2016-06-01,07,81308920.0
2016-07-01,07,48155805.0
2016-08-01,07,83230899.0
2016-09-01,07,75782295.0
2016-10-01,07,56719297.0
2016-11-01,07,53314998.0
2016-12-01,07,75290793.0
2014-01-01,10,245975045.0
2014-02-01,10,199099023.0
2014-03-01,10,240568719.0
2014-04-01,10,322268828.0
2014-05-01,10,343902145.0
2014-06-01,10,328618756.0
2014-07-01,10,281613328.0
2014-08-01,10,249421515.0
2014-09-01,10,346726137.0
2014-10-01,10,384883997.0
2014-11-01,10,303742844.0
2014-12-01,10,359068112.0
2015-01-01,10,237951085.0
2015-02-01,10,269530440.0
2015-03-01,10,298819072.0
2015-04-01,10,277658250.0
2015-05-01,10,243920909.0
2015-06-01,10,257681569.0
2015-07-01,10,215162369.0
2015-08-01,10,193089952.0
2015-09-01,10,270290718.0
2015-10-01,10,217822221.0
2015-11-01,10,346172978.0
2015-12-01,10,328020253.0
2016-01-01,10,443577033.0
2016-02-01,10,388875283.0
2016-03-01,10,386647096.0
2016-04-01,10,217163168.0
2016-05-01,10,252630890.0
2016-06-01,10,234282317.0
2016-07-01,10,191060535.0
2016-08-01,10,203355710.0
2016-09-01,10,242409152.0
2016-10-01,10,188611088.0
2016-11-01,10,187959080.0
2016-12-01,10,255253806.0
