Date,HS_Code,Forecast_Value,Lower_CI,Upper_CI,Model_Used
2026-06-01,04,137561296.0,102214950.08,185130548.41,XGBoost
2026-07-01,04,143461072.0,106598777.6,193070486.67,XGBoost
2026-08-01,04,133955272.0,99535494.1,180277548.4,XGBoost
2026-09-01,04,133955272.0,99535494.1,180277548.4,XGBoost
2026-10-01,04,133955272.0,99535494.1,180277548.4,XGBoost
2026-11-01,04,134093056.0,99637875.27,180462980.0,XGBoost
2026-12-01,04,131792992.0,97928812.01,177367544.18,XGBoost
2027-01-01,04,125886384.0,93539905.83,169418407.5,XGBoost
2027-02-01,04,124138864.0,92241412.34,167066590.94,XGBoost
2027-03-01,04,126202040.0,93774455.95,169843221.99,XGBoost
2027-04-01,04,122051904.0,90690695.41,164257950.18,XGBoost
2027-05-01,04,126202040.0,93774455.95,169843221.99,XGBoost
2027-06-01,04,122051904.0,90690695.41,164257950.18,XGBoost
2027-07-01,04,126202040.0,93774455.95,169843221.99,XGBoost
2027-08-01,04,122051904.0,90690695.41,164257950.18,XGBoost
2027-09-01,04,126202040.0,93774455.95,169843221.99,XGBoost
2027-10-01,04,122051904.0,90690695.41,164257950.18,XGBoost
2027-11-01,04,126331856.0,93870911.38,170017920.96,XGBoost
2027-12-01,04,122177448.0,90783978.91,164426904.19,XGBoost
2028-01-01,04,118437872.0,88005284.02,159394163.78,XGBoost
2028-02-01,04,121360840.0,90177196.85,163327907.45,XGBoost
2028-03-01,04,123377840.0,91675933.39,166042401.94,XGBoost
2028-04-01,04,123377840.0,91675933.39,166042401.94,XGBoost
2028-05-01,04,123377840.0,91675933.39,166042401.94,XGBoost
2026-06-01,07,88509697.85,42157339.47,185826874.12,SARIMA
2026-07-01,07,109066113.43,50625770.38,234967626.34,SARIMA
2026-08-01,07,88122297.69,40790949.79,190374075.37,SARIMA
2026-09-01,07,85833315.23,39702870.15,185562352.95,SARIMA
2026-10-01,07,99102268.62,45821192.81,214338803.56,SARIMA
2026-11-01,07,109401668.93,50564958.27,236699990.97,SARIMA
2026-12-01,07,129709466.4,59930287.13,280735275.57,SARIMA
2027-01-01,07,58877379.87,27194030.82,127474513.9,SARIMA
2027-02-01,07,57507279.3,26552098.7,124550876.72,SARIMA
2027-03-01,07,81861046.96,37783692.63,177357757.88,SARIMA
2027-04-01,07,99637126.8,45972641.6,215944890.07,SARIMA
2027-05-01,07,101004670.22,46587665.48,218983786.83,SARIMA
2027-06-01,07,94620254.15,41413766.31,216183971.99,SARIMA
2027-07-01,07,112263297.47,48874922.98,257863280.21,SARIMA
2027-08-01,07,92894944.56,40390228.29,213652437.5,SARIMA
2027-09-01,07,90754263.02,39430504.02,208882347.84,SARIMA
2027-10-01,07,102966796.75,44708763.64,237138323.01,SARIMA
2027-11-01,07,112334000.65,48747041.51,258865508.79,SARIMA
2027-12-01,07,130469180.92,56583447.05,300833690.01,SARIMA
2028-01-01,07,65337201.16,28319604.08,150741862.18,SARIMA
2028-02-01,07,64033800.1,27738408.59,147821297.79,SARIMA
2028-03-01,07,87294364.66,37792385.32,201636018.4,SARIMA
2028-04-01,07,103746322.55,44888678.88,239777594.49,SARIMA
2028-05-01,07,105043378.54,45423332.22,242917259.37,SARIMA
2026-06-01,10,260296704.0,182716245.84,370817444.63,XGBoost
2026-07-01,10,272294240.0,191137963.97,387909082.99,XGBoost
2026-08-01,10,272294240.0,191137963.97,387909082.99,XGBoost
2026-09-01,10,272294240.0,191137963.97,387909082.99,XGBoost
2026-10-01,10,259855712.0,182406688.68,370189207.14,XGBoost
2026-11-01,10,265593152.0,186434111.89,378362748.45,XGBoost
2026-12-01,10,266420160.0,187014633.44,379540900.49,XGBoost
2027-01-01,10,277845408.0,195034632.94,395817262.28,XGBoost
2027-02-01,10,265153296.0,186125355.92,377736136.95,XGBoost
2027-03-01,10,277845408.0,195034632.94,395817262.28,XGBoost
2027-04-01,10,272294240.0,191137963.97,387909082.99,XGBoost
2027-05-01,10,271448992.0,190544642.98,386704954.85,XGBoost
2027-06-01,10,271448992.0,190544642.98,386704954.85,XGBoost
2027-07-01,10,271448992.0,190544642.98,386704954.85,XGBoost
2027-08-01,10,271448992.0,190544642.98,386704954.85,XGBoost
2027-09-01,10,271448992.0,190544642.98,386704954.85,XGBoost
2027-10-01,10,271448992.0,190544642.98,386704954.85,XGBoost
2027-11-01,10,265593152.0,186434111.89,378362748.45,XGBoost
2027-12-01,10,265593152.0,186434111.89,378362748.45,XGBoost
2028-01-01,10,277845408.0,195034632.94,395817262.28,XGBoost
2028-02-01,10,277845408.0,195034632.94,395817262.28,XGBoost
2028-03-01,10,277845408.0,195034632.94,395817262.28,XGBoost
2028-04-01,10,271448992.0,190544642.98,386704954.85,XGBoost
2028-05-01,10,271448992.0,190544642.98,386704954.85,XGBoost
2026-06-01,12,134462112.0,85198373.34,212211339.67,XGBoost
2026-07-01,12,133737760.0,84739405.54,211068146.81,XGBoost
2026-08-01,12,133737760.0,84739405.54,211068146.81,XGBoost
2026-09-01,12,122325280.0,77508187.13,193056693.25,XGBoost
2026-10-01,12,133331520.0,84482001.27,210427006.59,XGBoost
2026-11-01,12,133331520.0,84482001.27,210427006.59,XGBoost
2026-12-01,12,122697984.0,77744343.21,193644908.68,XGBoost
2027-01-01,12,149597328.0,94788396.21,236098082.13,XGBoost
2027-02-01,12,148457216.0,94065996.24,234298734.79,XGBoost
2027-03-01,12,139280288.0,88251278.45,219815488.19,XGBoost
2027-04-01,12,142576960.0,90340133.99,225018390.71,XGBoost
2027-05-01,12,127347944.0,80690665.97,200983582.84,XGBoost
2027-06-01,12,122325280.0,77508187.13,193056693.25,XGBoost
2027-07-01,12,133331520.0,84482001.27,210427006.59,XGBoost
2027-08-01,12,133331520.0,84482001.27,210427006.59,XGBoost
2027-09-01,12,133331520.0,84482001.27,210427006.59,XGBoost
2027-10-01,12,133331520.0,84482001.27,210427006.59,XGBoost
2027-11-01,12,122325280.0,77508187.13,193056693.25,XGBoost
2027-12-01,12,122325280.0,77508187.13,193056693.25,XGBoost
2028-01-01,12,127714520.0,80922934.81,201562115.96,XGBoost
2028-02-01,12,126205416.0,79966730.79,199180411.61,XGBoost
2028-03-01,12,126205416.0,79966730.79,199180411.61,XGBoost
2028-04-01,12,127347944.0,80690665.97,200983582.84,XGBoost
2028-05-01,12,126961112.0,80445560.15,200373075.47,XGBoost
2026-06-01,17,213900736.0,117296768.75,390066393.25,XGBoost
2026-07-01,17,181619360.0,99594624.69,331198518.53,XGBoost
2026-08-01,17,198458496.0,108828702.57,361906128.75,XGBoost
2026-09-01,17,192036944.0,105307314.78,350195874.08,XGBoost
2026-10-01,17,176298976.0,96677088.8,321496352.7,XGBoost
2026-11-01,17,176298976.0,96677088.8,321496352.7,XGBoost
2026-12-01,17,176298976.0,96677088.8,321496352.7,XGBoost
2027-01-01,17,119752864.0,65668888.12,218379641.74,XGBoost
2027-02-01,17,177430768.0,97297724.09,323560254.15,XGBoost
2027-03-01,17,176298976.0,96677088.8,321496352.7,XGBoost
2027-04-01,17,201703760.0,110608307.89,367824145.37,XGBoost
2027-05-01,17,183187712.0,100454664.05,334058550.02,XGBoost
2027-06-01,17,207982320.0,114051283.52,379273643.09,XGBoost
2027-07-01,17,176298976.0,96677088.8,321496352.7,XGBoost
2027-08-01,17,198458496.0,108828702.57,361906128.75,XGBoost
2027-09-01,17,178897088.0,98101809.09,326234211.3,XGBoost
2027-10-01,17,176298976.0,96677088.8,321496352.7,XGBoost
2027-11-01,17,176298976.0,96677088.8,321496352.7,XGBoost
2027-12-01,17,176298976.0,96677088.8,321496352.7,XGBoost
2028-01-01,17,144527520.0,79254567.76,263558354.77,XGBoost
2028-02-01,17,162117120.0,88900177.48,295634500.07,XGBoost
